                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1722,                 3.2543,                 1.5629,                0.46886,                0.37851,                0.38051,                0.23092,                 1.3563,                 2.8822,                 1.9642,             0.00020703,             0.00020703,             0.00020703
                      2,                 1.2058,                 2.4321,                 1.5686,                0.38608,                0.55005,                 0.4429,                0.24897,                 1.3601,                 2.8613,                 1.9187,             0.00041125,             0.00041125,             0.00041125
                      3,                  1.218,                 2.2057,                 1.5611,                0.33951,                0.44331,                0.38646,                0.22018,                 1.3586,                 2.4514,                 1.9508,             0.00061135,             0.00061135,             0.00061135
                      4,                 1.2066,                 2.0291,                 1.5466,                0.54544,                0.46701,                0.46993,                0.29819,                 1.2602,                 2.2221,                 1.8419,             0.00060644,             0.00060644,             0.00060644
                      5,                 1.1932,                  1.874,                 1.5198,                0.49998,                0.52673,                0.51518,                0.30377,                 1.3889,                 2.1202,                 2.0223,             0.00060644,             0.00060644,             0.00060644
                      6,                 1.1817,                 1.7874,                 1.5112,                0.51116,                0.53988,                 0.5215,                0.34911,                 1.2346,                   1.97,                 1.7967,             0.00060025,             0.00060025,             0.00060025
                      7,                 1.1726,                 1.7494,                 1.4967,                0.74257,                0.44425,                0.53391,                0.33592,                  1.282,                  1.968,                 1.8207,             0.00059406,             0.00059406,             0.00059406
                      8,                 1.1779,                 1.6025,                  1.497,                0.60588,                0.59894,                0.62069,                0.41764,                 1.2099,                 1.5642,                 1.7717,             0.00058787,             0.00058787,             0.00058787
                      9,                 1.1678,                 1.5827,                 1.4848,                0.67442,                0.53374,                0.62159,                0.40124,                   1.28,                 1.6624,                 1.7692,             0.00058169,             0.00058169,             0.00058169
                     10,                 1.1407,                 1.4682,                 1.4602,                 0.5871,                 0.6613,                0.65527,                0.42876,                 1.2481,                 1.5479,                 1.8158,              0.0005755,              0.0005755,              0.0005755
                     11,                 1.1331,                 1.4154,                 1.4581,                0.69073,                0.60526,                0.68144,                0.46372,                 1.1831,                 1.4576,                 1.7281,             0.00056931,             0.00056931,             0.00056931
                     12,                 1.0946,                 1.3673,                 1.4276,                0.70041,                0.65882,                0.70707,                0.47357,                  1.188,                 1.3101,                 1.7281,             0.00056313,             0.00056313,             0.00056313
                     13,                 1.1041,                 1.3361,                 1.4494,                0.57913,                0.61358,                0.60397,                0.38755,                 1.3051,                 1.5039,                 1.8695,             0.00055694,             0.00055694,             0.00055694
